time_s,theta1_exp,theta2_exp
0.0,-3.111298893671018,-3.0309354324158977
0.01,-3.111298893671018,-2.9876479891314434
0.02,-3.105245032570773,-2.962497878993151
0.03,-3.0991938356638533,-2.9358500421917575
0.04,-3.0991938356638533,-2.9007461983483815
0.05,-3.0931457440203136,-2.867933332507703
0.06,-3.0931457440203136,-2.835713782184941
0.07,-3.087101197349062,-2.8092604835720754
0.08,-3.087101197349062,-2.7750172637456143
0.09,-3.080692445311805,-2.737798561704661
0.1,-3.0810606338076862,-2.6742137186223283
0.11,-3.0750244898139694,-2.629655477282589
0.12,-3.0689931998592987,-2.5742293207422757
0.13,-3.0624897642108886,-2.5127963671743605
0.14,-3.0629671963241596,-2.425849063920913
0.15,-3.0503830138331067,-2.3619747726360067
0.16,-3.0443394553382275,-2.264498333932482
0.17,-3.0383030151137804,-2.17225103365517
0.18,-3.032274119701893,-2.056023319362233
0.19,-3.0202406530190298,-1.9333405640594041
0.2,-3.008242399418241,-1.7963975706309205
0.21,-2.990318209754424,-1.6352231662204502
0.22,-2.971473838173696,-1.482318254313921
0.23,-2.9477389915615766,-1.3024301158889897
0.24,-2.922923707715851,-1.1106948022211292
0.25,-2.8848843231564074,-0.9097531579442097
0.26,-2.8426518307376347,-0.6896466705016817
0.27,-2.791278441354391,-0.46718116319866754
0.28,-2.7343368055149466,-0.22382797147051578
0.29,-2.667192770797886,0.01587168299179005
0.3,-2.5919046236780154,0.2641701645806579
0.31,-2.5052943013874285,0.5240721827749459
0.32,-2.4154470838557773,0.7853981633974483
0.33,-2.3182380450040307,1.0290162831461167
0.34,-2.2166812212993956,1.2816157044103822
0.35,-2.104036463237821,1.5466074971360604
0.36,-1.9890206563741257,1.7981986750772652
0.37,-1.8622531212727638,2.073991650384262
0.38,-1.732995160258279,2.344831342928054
0.39,-1.5947438437171042,2.635266349816171
0.4,-1.4568344249875156,2.9488918949274074
0.41,-1.317122230656254,-3.0053452563892136
0.42,-1.1769277160585352,-2.6305353416917465
0.43,-1.042721878368537,-2.228978273124457
0.44,-0.9129077216126865,-1.7681918866447774
0.45,-0.798163427424104,-1.2464617988210989
0.46,-0.6831914452901948,-0.7103946168803706
0.47,-0.5662668967057749,-0.18937004997584467
0.48,-0.43662715981354133,0.2984989315861793
0.49,-0.2874129112641303,0.7334218978285371
0.5,-0.11464656171265254,1.1071487177940904
0.51,0.06656816377582381,1.4206738407791344
0.52,0.25825221981103874,1.6721428300605643
0.53,0.44994983562794033,1.8525681940682488
0.54,0.6471551729197198,1.9960013457745147
0.55,0.8375248124430945,2.0576955586061656
0.56,1.013500791677391,2.0653221491838747
0.57,1.187977815074415,2.0267220815544413
0.58,1.3648955042390207,1.9513027039072615
0.59,1.5208379310729538,1.8563509975645052
0.6,1.6786563524669804,1.7359450042095235
0.61,1.8172924394398926,1.633215136790854
0.62,1.9536148385153784,1.5177487970334256
0.63,2.0760865148942913,1.4114446858909797
0.64,2.1881514648541818,1.3236990227701797
0.65,2.2984808765833793,1.2490457723982544
0.66,2.3867526604698446,1.153447653734414
0.67,2.474581026039237,1.0803352222462552
0.68,2.5535900500422257,0.996910432498493
0.69,2.625506973552642,0.922261703465222
0.7,2.6889638823639412,0.8386023429409392
0.71,2.751985276336847,0.7389200320464454
0.72,2.804339465268135,0.6336330080697452
0.73,2.8565760511029366,0.5221887012066232
0.74,2.9010584056438886,0.40594998694829726
0.75,2.9441970937399127,0.28379410920832787
0.76,2.976443976175166,0.15204326786340847
0.77,3.0134640920490963,0.007999829339886634
0.78,3.0437465993235007,-0.14415438711315431
0.79,3.074619795380377,-0.2914567944778671
0.8,3.1050235976762517,-0.42794849632148213
0.81,3.1355321217314827,-0.552697191635304
0.82,-3.117354976725056,-0.6846171643127805
0.83,-3.0810606338076862,-0.7966336456554111
0.84,-3.0443394553382275,-0.9097531579442097
0.85,-3.002257506275662,-0.9850159418115831
0.86,-2.9595804955205076,-1.075244653309068
0.87,-2.9157012463031644,-1.1574659222555688
0.88,-2.8674252024701343,-1.2036224929766774
0.89,-2.816025323834103,-1.254096234507327
0.9,-2.764449492496228,-1.2968682246414667
0.91,-2.7075063231542655,-1.321964118195749
0.92,-2.6403283887182107,-1.343393978512528
0.93,-2.5753257568840184,-1.3547113544981102
0.94,-2.5004838847300874,-1.3608228139327332
0.95,-2.419401322089805,-1.3608228139327332
0.96,-2.3351005729387904,-1.3608228139327332
0.97,-2.238102461773251,-1.3670516459110396
0.98,-2.135700728825673,-1.3670516459110396
0.99,-2.021111392501557,-1.384458768017848
1.0,-1.8944444121209352,-1.417536124926442
1.01,-1.7612314422084507,-1.4393276311080276
1.02,-1.6067090234094608,-1.4896739346939956
1.03,-1.4449587536457331,-1.5382874585128727
1.04,-1.2736154963785808,-1.5789262289748405
1.05,-1.0963964440029892,-1.5951817359676153
1.06,-0.8997901944701078,-1.6033051950769206
1.07,-0.7171283563406208,-1.5380211823908208
1.08,-0.5146785341412341,-1.4474586258951727
1.09,-0.31983851083763104,-1.2722973952087173
1.1,-0.12735573572760361,-1.0516502125483738
1.11,0.05449145624073119,-0.7676485483409506
1.12,0.22589140728662901,-0.4294404252294629
1.13,0.38500578431942517,-0.05123716740341881
1.14,0.5236846609962432,0.3597756950578168
1.15,0.6594311337075691,0.7669953331631361
1.16,0.7897271406845078,1.1693252797327711
1.17,0.9113651930873276,1.553406775505566
1.18,1.04094725733883,1.9062446545644045
1.19,1.1707746318769765,2.234842489621581
1.2,1.2942016959755644,2.5301751263786065
1.21,1.427138710629452,2.782821983319221
1.22,1.5582969777755349,3.0151521563314034
1.23,1.6710876442118139,-3.0501814517295123
1.24,1.7915005480132438,-2.8461518164460733
1.25,1.9004207342156394,-2.6521205286565532
1.26,2.0036413563821682,-2.4783896608837
1.27,2.1015698239978033,-2.3042182246234337
1.28,2.2005138474038892,-2.1337472247664033
1.29,2.2726886939744477,-1.9618444820652081
1.3,2.356194490192345,-1.7824539940435136
1.31,2.4342961679123305,-1.5869239606385328
1.32,2.491918783691728,-1.417536124926442
1.33,2.5621222661996037,-1.2261490111768705
1.34,2.6201582138180495,-1.0248974293076074
1.35,2.6834394947922036,-0.8194758749844561
1.36,2.743964662067664,-0.6014547068602731
1.37,2.7965000359379677,-0.40915615276007494
1.38,2.84896008070019,-0.17985349979247828
1.39,2.889228600369835,0.016127633843636236
1.4,2.932207260636298,0.21954383628938867
1.41,2.9704440481736114,0.3910481552703115
1.42,3.007434051563736,0.5790742693677309
1.43,3.0316088329875095,0.7509290623979403
1.44,3.0559133560852607,0.9126143804653363
1.45,3.074619795380377,1.0445001811768586
1.46,3.0928508022798615,1.1734719636223254
1.47,3.1050235976762517,1.2936356194613072
1.48,3.117354976725056,1.3864719178951976
1.49,3.1293981361415413,1.4793851249346157
1.5,3.141592653589793,1.5458015331759765
1.51,-3.1355321217314827,1.6043971212108898
1.52,-3.123412838516815,1.654632968863311
1.53,-3.111298893671018,1.6796085316121416
1.54,-3.105245032570773,1.6972368240532862
1.55,-3.0931457440203136,1.6972368240532862
1.56,-3.0810606338076862,1.6796085316121416
1.57,-3.0689931998592987,1.654632968863311
1.58,-3.0569469092959145,1.6043971212108898
1.59,-3.0449251925680634,1.5458015331759765
1.6,-3.032274119701893,1.4793851249346157
1.61,-3.0142369178621897,1.396124127786657
1.62,-3.002257506275662,1.298101990249229
1.63,-2.990318209754424,1.1766337425246225
1.64,-2.9774390007224056,1.056650170882332
1.65,-2.9595804955205076,0.9160777398125671
1.66,-2.9477389915615766,0.7629300348116228
1.67,-2.93471870461005,0.6055446636049701
1.68,-2.922923707715851,0.4351855462038585
1.69,-2.909809705438376,0.2662520491509254
1.7,-2.8980759777254015,0.08777389232722038
1.71,-2.879046251849694,-0.0791990709694515
1.72,-2.854179742325663,-0.25651661264432357
1.73,-2.8236443622385017,-0.4069707853687713
1.74,-2.791278441354391,-0.552697191635304
1.75,-2.7532739354173272,-0.6846171643127805
1.76,-2.7075063231542655,-0.8078662919832738
1.77,-2.653756214930151,-0.9209258773829491
1.78,-2.5919046236780154,-1.0248974293076074
1.79,-2.5303769732749926,-1.1178244687815455
1.8,-2.4537561082963704,-1.2185983318290832
1.81,-2.37314201999875,-1.3122526042957146
1.82,-2.288501467498376,-1.393806097631554
1.83,-2.1868907120365573,-1.4896739346939956
1.84,-2.085474860936131,-1.5869239606385328
1.85,-1.9623764483560668,-1.6931331606103925
1.86,-1.8275046572282823,-1.8157749899217608
1.87,-1.69663389994406,-1.9209630028850133
1.88,-1.5408651484410882,-2.0271447953520054
1.89,-1.3850824785352527,-2.1154471135199144
1.9,-1.2113278199313902,-2.1747793050478945
1.91,-1.0293490776569838,-2.1882022185464693
1.92,-0.8491414759301353,-2.1431051516362905
1.93,-0.65788860518221,-2.056023319362233
1.94,-0.4636476090008061,-1.8848349518190206
1.95,-0.26836621090590684,-1.668841604088736
1.96,-0.07862545726563365,-1.363723649677865
1.97,0.09725319825156577,-0.9919888663856159
1.98,0.25085231070431846,-0.5693131911006619
